Sample ID,Soil.id,Soil.ID,pH.category,soil.pH,Clay.category,Clay.pct,SOC.pct,Enzyme,Type,Buffer.pH,Rep,Activity,Activity.std,Enz.Soil
1,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,3,a,1.370345237,0.626902202,PHO.1
2,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,4,a,1.496326198,0.711058705,PHO.1
3,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,5,a,1.286234118,0.570715159,PHO.1
4,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6,a,1.037736852,0.404716578,PHO.1
5,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6.5,a,0.924851416,0.329308013,PHO.1
6,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,7,a,0.798699601,0.245037378,PHO.1
7,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,8,a,0.811877279,0.253840194,PHO.1
8,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,9,a,0.792451315,0.240863462,PHO.1
9,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,10,a,0.444595444,0.00849237,PHO.1
10,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,11,a,0.490142257,0.038918082,PHO.1
11,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,12,a,0.661751785,0.15355491,PHO.1
12,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,3,b,1.740085888,0.87389254,PHO.1
13,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,4,b,1.928866773,1,PHO.1
14,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,5,b,1.445561954,0.677147698,PHO.1
15,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6,b,1.04927045,0.412421133,PHO.1
16,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6.5,b,1.082243142,0.434447211,PHO.1
17,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,7,b,0.810609238,0.252993131,PHO.1
18,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,8,b,0.885630129,0.303107813,PHO.1
19,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,9,b,0.888628138,0.305110512,PHO.1
20,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,10,b,0.460148264,0.018881804,PHO.1
21,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,11,b,0.526392772,0.063133777,PHO.1
22,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,12,b,0.566676126,0.090043448,PHO.1
23,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,3,c,1.242128721,0.541252327,PHO.1
24,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,4,c,1.662571444,0.82211214,PHO.1
25,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,5,c,1.102948161,0.448278364,PHO.1
26,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6,c,1.031146224,0.400313974,PHO.1
27,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,6.5,c,1.195506346,0.510108129,PHO.1
28,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,7,c,0.691512866,0.1734356,PHO.1
29,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,8,c,0.752307669,0.214047118,PHO.1
30,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,9,c,0.745736859,0.209657753,PHO.1
31,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,10,c,0.484075679,0.034865549,PHO.1
32,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,11,c,0.4318825,0,PHO.1
33,Soil 1,279835,High,7.77,High,65.8276202,4.7128,Phos,Soil,12,c,0.466596484,0.023189278,PHO.1
34,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,3,a,0.497650999,0.403228845,PHO.2
35,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,4,a,0.52651118,0.433084909,PHO.2
36,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,5,a,0.650609539,0.561465548,PHO.2
37,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,6,a,1.00527266,0.928367083,PHO.2
38,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,6.5,a,0.73548806,0.649272985,PHO.2
39,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,7,a,0.795949709,0.711820993,PHO.2
40,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,8,a,0.733070427,0.646771927,PHO.2
41,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,9,a,0.363707888,0.26466374,PHO.2
42,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,10,a,0.225752195,0.121947589,PHO.2
43,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,11,a,0.229056144,0.125365548,PHO.2
44,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,12,a,0.107872305,0,PHO.2
45,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,3,b,0.482906539,0.387975596,PHO.2
46,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,4,b,0.589348007,0.498090056,PHO.2
47,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,5,b,0.684744369,0.596778274,PHO.2
48,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,6,b,0.985488797,0.907900535,PHO.2
49,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,6.5,b,0.679782776,0.591645471,PHO.2
50,Soil 2,279841,Low,4.41,High,61.7977678,2.03,Phos,Soil,7,b,0.852158854,0.769969756,PHO.2
