Sample.ID,Soil.id,Enzyme,Type,pH_est,Activity.std_est,Activity.std_min,Activity.std_max
1,Soil 1,B.Glu,Soil,3,0.8756,0.7756,0.9755
2,Soil 1,B.Glu,Soil,3.0452,0.8654,0.7685,0.9623
3,Soil 1,B.Glu,Soil,3.0905,0.8553,0.7613,0.9493
4,Soil 1,B.Glu,Soil,3.1357,0.8452,0.754,0.9364
5,Soil 1,B.Glu,Soil,3.1809,0.8352,0.7467,0.9237
6,Soil 1,B.Glu,Soil,3.2261,0.8252,0.7393,0.9111
7,Soil 1,B.Glu,Soil,3.2714,0.8153,0.7318,0.8987
8,Soil 1,B.Glu,Soil,3.3166,0.8054,0.7243,0.8865
9,Soil 1,B.Glu,Soil,3.3618,0.7956,0.7167,0.8745
10,Soil 1,B.Glu,Soil,3.407,0.7858,0.709,0.8626
11,Soil 1,B.Glu,Soil,3.4523,0.7761,0.7013,0.8509
12,Soil 1,B.Glu,Soil,3.4975,0.7664,0.6935,0.8394
13,Soil 1,B.Glu,Soil,3.5427,0.7568,0.6856,0.8281
14,Soil 1,B.Glu,Soil,3.5879,0.7473,0.6776,0.8169
15,Soil 1,B.Glu,Soil,3.6332,0.7377,0.6695,0.8059
16,Soil 1,B.Glu,Soil,3.6784,0.7283,0.6614,0.7951
17,Soil 1,B.Glu,Soil,3.7236,0.7189,0.6532,0.7845
18,Soil 1,B.Glu,Soil,3.7688,0.7095,0.645,0.7741
19,Soil 1,B.Glu,Soil,3.8141,0.7002,0.6367,0.7638
20,Soil 1,B.Glu,Soil,3.8593,0.691,0.6283,0.7537
21,Soil 1,B.Glu,Soil,3.9045,0.6818,0.6199,0.7438
22,Soil 1,B.Glu,Soil,3.9497,0.6727,0.6114,0.734
23,Soil 1,B.Glu,Soil,3.995,0.6636,0.6028,0.7244
24,Soil 1,B.Glu,Soil,4.0402,0.6546,0.5943,0.715
25,Soil 1,B.Glu,Soil,4.0854,0.6456,0.5856,0.7056
26,Soil 1,B.Glu,Soil,4.1307,0.6367,0.5769,0.6964
27,Soil 1,B.Glu,Soil,4.1759,0.6277,0.5682,0.6873
28,Soil 1,B.Glu,Soil,4.2211,0.6189,0.5595,0.6783
29,Soil 1,B.Glu,Soil,4.2663,0.61,0.5507,0.6694
30,Soil 1,B.Glu,Soil,4.3116,0.6013,0.5419,0.6606
31,Soil 1,B.Glu,Soil,4.3568,0.5925,0.5332,0.6519
32,Soil 1,B.Glu,Soil,4.402,0.5838,0.5244,0.6433
33,Soil 1,B.Glu,Soil,4.4472,0.5752,0.5157,0.6348
34,Soil 1,B.Glu,Soil,4.4925,0.5667,0.5069,0.6264
35,Soil 1,B.Glu,Soil,4.5377,0.5582,0.4982,0.6181
36,Soil 1,B.Glu,Soil,4.5829,0.5497,0.4896,0.6099
37,Soil 1,B.Glu,Soil,4.6281,0.5414,0.481,0.6017
38,Soil 1,B.Glu,Soil,4.6734,0.5331,0.4724,0.5937
39,Soil 1,B.Glu,Soil,4.7186,0.5248,0.4639,0.5858
40,Soil 1,B.Glu,Soil,4.7638,0.5167,0.4554,0.578
41,Soil 1,B.Glu,Soil,4.809,0.5086,0.447,0.5702
42,Soil 1,B.Glu,Soil,4.8543,0.5007,0.4387,0.5626
43,Soil 1,B.Glu,Soil,4.8995,0.4928,0.4305,0.555
44,Soil 1,B.Glu,Soil,4.9447,0.485,0.4224,0.5476
45,Soil 1,B.Glu,Soil,4.9899,0.4773,0.4143,0.5402
46,Soil 1,B.Glu,Soil,5.0352,0.4696,0.4063,0.5329
47,Soil 1,B.Glu,Soil,5.0804,0.4618,0.3982,0.5254
48,Soil 1,B.Glu,Soil,5.1256,0.4539,0.39,0.5178
49,Soil 1,B.Glu,Soil,5.1709,0.4459,0.3818,0.51
50,Soil 1,B.Glu,Soil,5.2161,0.4379,0.3735,0.5022
51,Soil 1,B.Glu,Soil,5.2613,0.4298,0.3652,0.4943
52,Soil 1,B.Glu,Soil,5.3065,0.4216,0.3569,0.4863
53,Soil 1,B.Glu,Soil,5.3518,0.4135,0.3487,0.4783
54,Soil 1,B.Glu,Soil,5.397,0.4054,0.3404,0.4703
55,Soil 1,B.Glu,Soil,5.4422,0.3972,0.3321,0.4624
56,Soil 1,B.Glu,Soil,5.4874,0.3892,0.3239,0.4544
57,Soil 1,B.Glu,Soil,5.5327,0.3812,0.3158,0.4466
58,Soil 1,B.Glu,Soil,5.5779,0.3733,0.3077,0.4388
59,Soil 1,B.Glu,Soil,5.6231,0.3655,0.2998,0.4311
60,Soil 1,B.Glu,Soil,5.6683,0.3578,0.2919,0.4236
61,Soil 1,B.Glu,Soil,5.7136,0.3502,0.2842,0.4162
62,Soil 1,B.Glu,Soil,5.7588,0.3428,0.2767,0.4089
63,Soil 1,B.Glu,Soil,5.804,0.3356,0.2694,0.4018
64,Soil 1,B.Glu,Soil,5.8492,0.3286,0.2623,0.3949
65,Soil 1,B.Glu,Soil,5.8945,0.3218,0.2554,0.3882
66,Soil 1,B.Glu,Soil,5.9397,0.3152,0.2487,0.3817
67,Soil 1,B.Glu,Soil,5.9849,0.3089,0.2424,0.3754
68,Soil 1,B.Glu,Soil,6.0302,0.3028,0.2363,0.3693
69,Soil 1,B.Glu,Soil,6.0754,0.297,0.2306,0.3633
70,Soil 1,B.Glu,Soil,6.1206,0.2913,0.2252,0.3575
71,Soil 1,B.Glu,Soil,6.1658,0.2859,0.22,0.3518
72,Soil 1,B.Glu,Soil,6.2111,0.2806,0.215,0.3462
73,Soil 1,B.Glu,Soil,6.2563,0.2755,0.2102,0.3408
74,Soil 1,B.Glu,Soil,6.3015,0.2705,0.2056,0.3355
75,Soil 1,B.Glu,Soil,6.3467,0.2657,0.201,0.3305
76,Soil 1,B.Glu,Soil,6.392,0.2611,0.1965,0.3256
77,Soil 1,B.Glu,Soil,6.4372,0.2565,0.1921,0.3209
78,Soil 1,B.Glu,Soil,6.4824,0.252,0.1877,0.3163
79,Soil 1,B.Glu,Soil,6.5276,0.2477,0.1834,0.312
80,Soil 1,B.Glu,Soil,6.5729,0.2434,0.179,0.3078
81,Soil 1,B.Glu,Soil,6.6181,0.2392,0.1747,0.3038
82,Soil 1,B.Glu,Soil,6.6633,0.2351,0.1703,0.2999
83,Soil 1,B.Glu,Soil,6.7085,0.231,0.1659,0.296
